!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 1   10/ 7/19
!  WCM     P33  pE   P33  pM   P13  pE   P13  pM   P13  nE   P13  nM
 1540.0   -1.8144   -1.1349    1.4159   -0.7854   -1.0994    2.2550           0.4807    0.7493   -0.0620    0.1197    0.0479   -0.2280
 1545.0   -1.7998   -0.9276    1.4198   -0.7654   -1.0885    2.2287           0.4686    0.7249   -0.0518    0.1205    0.0435   -0.2275
 1550.0   -1.7847   -0.7313    1.4239   -0.7457   -1.0778    2.2022           0.4571    0.7064   -0.0405    0.1213    0.0389   -0.2273
 1555.0   -1.7692   -0.5458    1.4282   -0.7263   -1.0673    2.1755           0.4462    0.6932   -0.0282    0.1222    0.0342   -0.2273
 1560.0   -1.7533   -0.3713    1.4325   -0.7073   -1.0567    2.1485           0.4359    0.6849   -0.0148    0.1231    0.0294   -0.2274
 1565.0   -1.7370   -0.2075    1.4370   -0.6888   -1.0464    2.1213           0.4263    0.6809   -0.0002    0.1240    0.0244   -0.2279
 1570.0   -1.7205   -0.0544    1.4413   -0.6707   -1.0361    2.0941           0.4172    0.6808    0.0156    0.1251    0.0193   -0.2286
 1575.0   -1.7038    0.0882    1.4453   -0.6530   -1.0259    2.0667           0.4087    0.6842    0.0327    0.1260    0.0141   -0.2296
 1580.0   -1.6870    0.2206    1.4492   -0.6358   -1.0157    2.0392           0.4008    0.6905    0.0510    0.1270    0.0088   -0.2309
 1585.0   -1.6701    0.3430    1.4526   -0.6190   -1.0055    2.0116           0.3934    0.6995    0.0706    0.1280    0.0034   -0.2326
 1590.0   -1.6532    0.4558    1.4554   -0.6027   -0.9953    1.9838           0.3865    0.7106    0.0914    0.1289   -0.0020   -0.2346
 1595.0   -1.6363    0.5592    1.4578   -0.5870   -0.9852    1.9561           0.3800    0.7235    0.1136    0.1298   -0.0075   -0.2371
 1600.0   -1.6194    0.6537    1.4592   -0.5717   -0.9750    1.9283           0.3739    0.7378    0.1370    0.1306   -0.0130   -0.2401
 1605.0   -1.6027    0.7396    1.4597   -0.5569   -0.9648    1.9007           0.3683    0.7532    0.1615    0.1312   -0.0184   -0.2433
 1610.0   -1.5860    0.8174    1.4593   -0.5427   -0.9546    1.8732           0.3631    0.7694    0.1872    0.1316   -0.0239   -0.2471
 1615.0   -1.5695    0.8875    1.4576   -0.5289   -0.9443    1.8459           0.3581    0.7860    0.2140    0.1320   -0.0292   -0.2513
 1620.0   -1.5532    0.9503    1.4548   -0.5157   -0.9340    1.8188           0.3535    0.8029    0.2417    0.1321   -0.0345   -0.2560
 1625.0   -1.5371    1.0063    1.4501   -0.5029   -0.9236    1.7918           0.3492    0.8198    0.2703    0.1320   -0.0396   -0.2611
 1630.0   -1.5213    1.0559    1.4442   -0.4906   -0.9132    1.7652           0.3451    0.8365    0.2995    0.1316   -0.0446   -0.2666
 1635.0   -1.5056    1.0997    1.4368   -0.4788   -0.9028    1.7392           0.3412    0.8527    0.3292    0.1308   -0.0494   -0.2724
 1640.0   -1.4901    1.1380    1.4274   -0.4673   -0.8923    1.7133           0.3375    0.8684    0.3594    0.1298   -0.0540   -0.2788
 1645.0   -1.4749    1.1713    1.4166   -0.4564   -0.8819    1.6881           0.3339    0.8834    0.3897    0.1284   -0.0583   -0.2854
 1650.0   -1.4599    1.2001    1.4038   -0.4457   -0.8714    1.6634           0.3305    0.8976    0.4200    0.1267   -0.0623   -0.2922
 1655.0   -1.4452    1.2248    1.3893   -0.4354   -0.8610    1.6391           0.3272    0.9109    0.4501    0.1246   -0.0660   -0.2993
 1660.0   -1.4307    1.2457    1.3728   -0.4254   -0.8506    1.6154           0.3240    0.9232    0.4798    0.1221   -0.0694   -0.3067
 1665.0   -1.4164    1.2633    1.3547   -0.4156   -0.8403    1.5924           0.3208    0.9344    0.5088    0.1192   -0.0724   -0.3140
 1670.0   -1.4022    1.2780    1.3352   -0.4061   -0.8301    1.5699           0.3177    0.9446    0.5372    0.1160   -0.0751   -0.3216
 1675.0   -1.3883    1.2902    1.3138   -0.3968   -0.8201    1.5481           0.3146    0.9536    0.5645    0.1123   -0.0774   -0.3290
 1680.0   -1.3746    1.3001    1.2912   -0.3876   -0.8103    1.5269           0.3116    0.9616    0.5908    0.1083   -0.0793   -0.3364
 1685.0   -1.3610    1.3082    1.2673   -0.3785   -0.8006    1.5061           0.3085    0.9684    0.6158    0.1039   -0.0809   -0.3438
 1690.0   -1.3476    1.3146    1.2422   -0.3695   -0.7912    1.4859           0.3054    0.9741    0.6394    0.0992   -0.0821   -0.3509
 1695.0   -1.3344    1.3198    1.2161   -0.3605   -0.7820    1.4663           0.3024    0.9787    0.6615    0.0942   -0.0829   -0.3579
 1700.0   -1.3212    1.3239    1.1892   -0.3517   -0.7732    1.4473           0.2993    0.9822    0.6821    0.0890   -0.0834   -0.3646
 1705.0   -1.3082    1.3272    1.1615   -0.3428   -0.7647    1.4288           0.2961    0.9848    0.7010    0.0835   -0.0836   -0.3710
 1710.0   -1.2952    1.3299    1.1334   -0.3339   -0.7564    1.4106           0.2930    0.9863    0.7182    0.0778   -0.0834   -0.3770
 1715.0   -1.2824    1.3322    1.1050   -0.3250   -0.7486    1.3931           0.2898    0.9870    0.7338    0.0719   -0.0830   -0.3827
 1720.0   -1.2696    1.3344    1.0764   -0.3161   -0.7411    1.3758           0.2865    0.9868    0.7477    0.0658   -0.0823   -0.3879
 1725.0   -1.2568    1.3364    1.0478   -0.3071   -0.7340    1.3586           0.2832    0.9857    0.7600    0.0597   -0.0813   -0.3928
 1730.0   -1.2441    1.3386    1.0194   -0.2982   -0.7272    1.3419           0.2799    0.9839    0.7707    0.0535   -0.0802   -0.3973
 1735.0   -1.2314    1.3410    0.9908   -0.2892   -0.7208    1.3255           0.2766    0.9814    0.7800    0.0472   -0.0788   -0.4015
 1740.0   -1.2187    1.3437    0.9632   -0.2802   -0.7148    1.3091           0.2732    0.9783    0.7876    0.0409   -0.0773   -0.4051
 1745.0   -1.2060    1.3468    0.9358   -0.2713   -0.7092    1.2929           0.2698    0.9746    0.7940    0.0346   -0.0756   -0.4084
 1750.0   -1.1933    1.3504    0.9088   -0.2623   -0.7039    1.2769           0.2663    0.9704    0.7990    0.0284   -0.0738   -0.4113
 1755.0   -1.1806    1.3546    0.8826   -0.2534   -0.6989    1.2609           0.2628    0.9657    0.8026    0.0222   -0.0719   -0.4137
 1760.0   -1.1678    1.3593    0.8572   -0.2445   -0.6943    1.2448           0.2593    0.9606    0.8051    0.0161   -0.0699   -0.4158
 1765.0   -1.1551    1.3647    0.8323   -0.2357   -0.6900    1.2290           0.2558    0.9552    0.8067    0.0101   -0.0678   -0.4176
 1770.0   -1.1422    1.3707    0.8084   -0.2270   -0.6860    1.2130           0.2523    0.9494    0.8072    0.0042   -0.0657   -0.4190
 1775.0   -1.1294    1.3774    0.7853   -0.2184   -0.6824    1.1970           0.2488    0.9435    0.8067   -0.0016   -0.0635   -0.4201
 1780.0   -1.1164    1.3848    0.7629   -0.2099   -0.6789    1.1811           0.2453    0.9373    0.8054   -0.0073   -0.0613   -0.4208
 1785.0   -1.1035    1.3928    0.7412   -0.2016   -0.6758    1.1651           0.2418    0.9310    0.8033   -0.0128   -0.0591   -0.4213
 1790.0   -1.0904    1.4015    0.7209   -0.1934   -0.6729    1.1488           0.2383    0.9246    0.8006   -0.0181   -0.0569   -0.4216
 1795.0   -1.0774    1.4109    0.7009   -0.1855   -0.6702    1.1328           0.2348    0.9181    0.7972   -0.0234   -0.0547   -0.4216
 1800.0   -1.0642    1.4208    0.6821   -0.1776   -0.6677    1.1164           0.2313    0.9116    0.7933   -0.0284   -0.0525   -0.4213
 1805.0   -1.0510    1.4313    0.6640   -0.1700   -0.6654    1.1000           0.2279    0.9051    0.7889   -0.0333   -0.0503   -0.4209
 1810.0   -1.0378    1.4424    0.6469   -0.1627   -0.6633    1.0835           0.2245    0.8987    0.7842   -0.0380   -0.0481   -0.4204
 1815.0   -1.0245    1.4541    0.6305   -0.1556   -0.6612    1.0669           0.2212    0.8923    0.7790   -0.0426   -0.0460   -0.4196
 1820.0   -1.0112    1.4661    0.6147   -0.1487   -0.6593    1.0503           0.2179    0.8860    0.7734   -0.0470   -0.0439   -0.4186
 1825.0   -0.9978    1.4786    0.5999   -0.1421   -0.6576    1.0334           0.2146    0.8798    0.7675   -0.0513   -0.0419   -0.4176
 1830.0   -0.9844    1.4915    0.5855   -0.1358   -0.6558    1.0166           0.2114    0.8737    0.7614   -0.0553   -0.0399   -0.4164
 1835.0   -0.9710    1.5047    0.5719   -0.1298   -0.6542    0.9997           0.2082    0.8678    0.7550   -0.0593   -0.0379   -0.4151
 1840.0   -0.9575    1.5183    0.5592   -0.1241   -0.6527    0.9826           0.2051    0.8621    0.7484   -0.0630   -0.0360   -0.4136
 1845.0   -0.9440    1.5320    0.5469   -0.1187   -0.6512    0.9655           0.2021    0.8565    0.7416   -0.0666   -0.0341   -0.4121
 1850.0   -0.9305    1.5460    0.5358   -0.1137   -0.6497    0.9480           0.1991    0.8511    0.7348   -0.0701   -0.0323   -0.4107
 1855.0   -0.9170    1.5601    0.5248   -0.1090   -0.6481    0.9307           0.1962    0.8459    0.7277   -0.0734   -0.0305   -0.4089
 1860.0   -0.9035    1.5743    0.5144   -0.1046   -0.6465    0.9132           0.1934    0.8408    0.7205   -0.0765   -0.0288   -0.4073
 1865.0   -0.8901    1.5886    0.5045   -0.1006   -0.6450    0.8958           0.1906    0.8360    0.7133   -0.0796   -0.0271   -0.4055
 1870.0   -0.8766    1.6029    0.4952   -0.0970   -0.6433    0.8782           0.1880    0.8314    0.7061   -0.0825   -0.0255   -0.4039
 1875.0   -0.8632    1.6171    0.4866   -0.0938   -0.6416    0.8604           0.1853    0.8270    0.6986   -0.0852   -0.0239   -0.4020
 1880.0   -0.8498    1.6313    0.4781   -0.0908   -0.6397    0.8426           0.1828    0.8227    0.6913   -0.0878   -0.0223   -0.4002
 1885.0   -0.8365    1.6454    0.4704   -0.0883   -0.6378    0.8247           0.1803    0.8187    0.6838   -0.0904   -0.0208   -0.3984
