!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D35  pE   D35  pM   D15  pE   D15  pM   D15  nE   D15  nM
 1560.0   -0.7480   -0.0021    0.4318   -0.0263   -0.4435   -0.5337           0.0377    0.0001    0.0766    0.1039   -0.0857   -0.1359
 1565.0   -0.7434   -0.0017    0.4272   -0.0182   -0.4389   -0.5689           0.0379    0.0001    0.0791    0.1141   -0.0889   -0.1654
 1570.0   -0.7386   -0.0012    0.4226   -0.0106   -0.4343   -0.6051           0.0382    0.0000    0.0817    0.1253   -0.0921   -0.1988
 1575.0   -0.7338   -0.0006    0.4175   -0.0033   -0.4291   -0.6411           0.0384    0.0000    0.0843    0.1376   -0.0954   -0.2372
 1580.0   -0.7290    0.0000    0.4117    0.0036   -0.4234   -0.6765           0.0387   -0.0000    0.0867    0.1512   -0.0988   -0.2797
 1585.0   -0.7242    0.0008    0.4054    0.0097   -0.4171   -0.7111           0.0389   -0.0000    0.0891    0.1660   -0.1021   -0.3282
 1590.0   -0.7192    0.0016    0.3992    0.0147   -0.4109   -0.7451           0.0392   -0.0001    0.0912    0.1821   -0.1053   -0.3829
 1595.0   -0.7142    0.0025    0.3919    0.0187   -0.4036   -0.7758           0.0394   -0.0001    0.0930    0.1996   -0.1084   -0.4435
 1600.0   -0.7091    0.0034    0.3841    0.0212   -0.3958   -0.8032           0.0396   -0.0001    0.0944    0.2184   -0.1111   -0.5114
 1605.0   -0.7040    0.0044    0.3756    0.0220   -0.3872   -0.8250           0.0399   -0.0002    0.0953    0.2386   -0.1136   -0.5858
 1610.0   -0.6989    0.0055    0.3671    0.0204   -0.3785   -0.8415           0.0401   -0.0002    0.0956    0.2600   -0.1155   -0.6673
 1615.0   -0.6936    0.0067    0.3574    0.0164   -0.3685   -0.8489           0.0403   -0.0002    0.0950    0.2823   -0.1168   -0.7560
 1620.0   -0.6883    0.0079    0.3477    0.0094   -0.3584   -0.8469           0.0405   -0.0003    0.0935    0.3053   -0.1173   -0.8495
 1625.0   -0.6830    0.0092    0.3378   -0.0009   -0.3477   -0.8332           0.0407   -0.0003    0.0908    0.3284   -0.1168   -0.9479
 1630.0   -0.6776    0.0105    0.3277   -0.0147   -0.3368   -0.8058           0.0409   -0.0004    0.0869    0.3511   -0.1151   -1.0494
 1635.0   -0.6721    0.0119    0.3179   -0.0322   -0.3258   -0.7638           0.0411   -0.0004    0.0816    0.3728   -0.1121   -1.1504
 1640.0   -0.6666    0.0134    0.3085   -0.0533   -0.3148   -0.7062           0.0413   -0.0005    0.0750    0.3925   -0.1078   -1.2482
 1645.0   -0.6610    0.0149    0.2998   -0.0776   -0.3044   -0.6331           0.0416   -0.0005    0.0669    0.4095   -0.1021   -1.3401
 1650.0   -0.6554    0.0165    0.2922   -0.1047   -0.2947   -0.5457           0.0418   -0.0006    0.0577    0.4231   -0.0951   -1.4221
 1655.0   -0.6497    0.0182    0.2860   -0.1340   -0.2860   -0.4461           0.0420   -0.0006    0.0476    0.4326   -0.0869   -1.4914
 1660.0   -0.6440    0.0199    0.2812   -0.1644   -0.2787   -0.3371           0.0422   -0.0007    0.0367    0.4378   -0.0778   -1.5456
 1665.0   -0.6382    0.0216    0.2781   -0.1949   -0.2727   -0.2220           0.0425   -0.0007    0.0256    0.4385   -0.0681   -1.5825
 1670.0   -0.6323    0.0234    0.2767   -0.2249   -0.2683   -0.1048           0.0427   -0.0008    0.0144    0.4348   -0.0581   -1.6024
