!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 1   10/ 7/19
!  WCM     P31  pE   P31  pM   P11  pE   P11  pM   P11  nE   P11  nM
 1940.0    0.0000    0.6433    0.0000   -0.7016    0.0000   -0.8340           0.0000    0.9513    0.0000    0.0530    0.0000   -0.5315
 1945.0    0.0000    0.6470    0.0000   -0.6805    0.0000   -0.8470           0.0000    0.9649    0.0000    0.0608    0.0000   -0.5397
 1950.0    0.0000    0.6504    0.0000   -0.6580    0.0000   -0.8599           0.0000    0.9771    0.0000    0.0698    0.0000   -0.5478
 1955.0    0.0000    0.6536    0.0000   -0.6389    0.0000   -0.8724           0.0000    0.9895    0.0000    0.0788    0.0000   -0.5558
 1960.0    0.0000    0.6565    0.0000   -0.6188    0.0000   -0.8848           0.0000    1.0006    0.0000    0.0882    0.0000   -0.5635
 1965.0    0.0000    0.6588    0.0000   -0.6017    0.0000   -0.8967           0.0000    1.0114    0.0000    0.0986    0.0000   -0.5710
 1970.0    0.0000    0.6608    0.0000   -0.5836    0.0000   -0.9084           0.0000    1.0218    0.0000    0.1088    0.0000   -0.5784
 1975.0    0.0000    0.6622    0.0000   -0.5667    0.0000   -0.9197           0.0000    1.0314    0.0000    0.1192    0.0000   -0.5854
 1980.0    0.0000    0.6634    0.0000   -0.5508    0.0000   -0.9307           0.0000    1.0406    0.0000    0.1313    0.0000   -0.5924
 1985.0    0.0000    0.6650    0.0000   -0.5374    0.0000   -0.9412           0.0000    1.0495    0.0000    0.1434    0.0000   -0.5990
 1990.0    0.0000    0.6654    0.0000   -0.5246    0.0000   -0.9512           0.0000    1.0580    0.0000    0.1537    0.0000   -0.6052
 1995.0    0.0000    0.6662    0.0000   -0.5128    0.0000   -0.9609           0.0000    1.0657    0.0000    0.1659    0.0000   -0.6112
 2000.0    0.0000    0.6664    0.0000   -0.5007    0.0000   -0.9701           0.0000    1.0730    0.0000    0.1769    0.0000   -0.6166
 2005.0    0.0000    0.6660    0.0000   -0.4915    0.0000   -0.9787           0.0000    1.0801    0.0000    0.1893    0.0000   -0.6219
 2010.0    0.0000    0.6660    0.0000   -0.4839    0.0000   -0.9868           0.0000    1.0868    0.0000    0.2001    0.0000   -0.6267
 2015.0    0.0000    0.6641    0.0000   -0.4764    0.0000   -0.9943           0.0000    1.0933    0.0000    0.2112    0.0000   -0.6312
 2020.0    0.0000    0.6634    0.0000   -0.4698    0.0000   -1.0013           0.0000    1.0995    0.0000    0.2229    0.0000   -0.6352
 2025.0    0.0000    0.6614    0.0000   -0.4639    0.0000   -1.0077           0.0000    1.1055    0.0000    0.2336    0.0000   -0.6387
 2030.0    0.0000    0.6593    0.0000   -0.4612    0.0000   -1.0132           0.0000    1.1113    0.0000    0.2430    0.0000   -0.6418
 2035.0    0.0000    0.6572    0.0000   -0.4593    0.0000   -1.0181           0.0000    1.1168    0.0000    0.2549    0.0000   -0.6445
 2040.0    0.0000    0.6536    0.0000   -0.4581    0.0000   -1.0223           0.0000    1.1222    0.0000    0.2637    0.0000   -0.6465
 2045.0    0.0000    0.6500    0.0000   -0.4589    0.0000   -1.0259           0.0000    1.1274    0.0000    0.2733    0.0000   -0.6480
 2050.0    0.0000    0.6463    0.0000   -0.4598    0.0000   -1.0286           0.0000    1.1330    0.0000    0.2804    0.0000   -0.6489
