!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 0   10/ 7/19
!  WCM     S31  pE   S31  pM   S11  pE   S11  pM   S11  nE   S11  nM
 1735.0   -3.8405    0.0000   -0.6346    0.0000   -0.9366    0.0000           0.7201    0.0000    2.9118    0.0000   -0.1629    0.0000
 1740.0   -3.7857    0.0000   -0.6620    0.0000   -0.9196    0.0000           0.7593    0.0000    2.7858    0.0000   -0.1515    0.0000
 1745.0   -3.7351    0.0000   -0.6958    0.0000   -0.9024    0.0000           0.7937    0.0000    2.6640    0.0000   -0.1407    0.0000
 1750.0   -3.6859    0.0000   -0.7044    0.0000   -0.8840    0.0000           0.8283    0.0000    2.5499    0.0000   -0.1309    0.0000
 1755.0   -3.6380    0.0000   -0.7304    0.0000   -0.8660    0.0000           0.8580    0.0000    2.4276    0.0000   -0.1220    0.0000
 1760.0   -3.5891    0.0000   -0.7447    0.0000   -0.8468    0.0000           0.8806    0.0000    2.3158    0.0000   -0.1137    0.0000
 1765.0   -3.5444    0.0000   -0.7499    0.0000   -0.8271    0.0000           0.9030    0.0000    2.2066    0.0000   -0.1063    0.0000
 1770.0   -3.5049    0.0000   -0.7428    0.0000   -0.8069    0.0000           0.9220    0.0000    2.0925    0.0000   -0.1005    0.0000
 1775.0   -3.4611    0.0000   -0.7489    0.0000   -0.7867    0.0000           0.9399    0.0000    1.9998    0.0000   -0.0952    0.0000
 1780.0   -3.4184    0.0000   -0.7444    0.0000   -0.7650    0.0000           0.9503    0.0000    1.9036    0.0000   -0.0908    0.0000
 1785.0   -3.3773    0.0000   -0.7393    0.0000   -0.7436    0.0000           0.9650    0.0000    1.8073    0.0000   -0.0877    0.0000
 1790.0   -3.3356    0.0000   -0.7306    0.0000   -0.7215    0.0000           0.9730    0.0000    1.7222    0.0000   -0.0853    0.0000
 1795.0   -3.3010    0.0000   -0.6984    0.0000   -0.6981    0.0000           0.9764    0.0000    1.6284    0.0000   -0.0841    0.0000
 1800.0   -3.2588    0.0000   -0.6868    0.0000   -0.6749    0.0000           0.9860    0.0000    1.5478    0.0000   -0.0833    0.0000
 1805.0   -3.2215    0.0000   -0.6653    0.0000   -0.6511    0.0000           0.9888    0.0000    1.4615    0.0000   -0.0837    0.0000
 1810.0   -3.1843    0.0000   -0.6522    0.0000   -0.6271    0.0000           0.9908    0.0000    1.3845    0.0000   -0.0846    0.0000
 1815.0   -3.1446    0.0000   -0.6376    0.0000   -0.6025    0.0000           0.9895    0.0000    1.3083    0.0000   -0.0863    0.0000
 1820.0   -3.1077    0.0000   -0.6133    0.0000   -0.5776    0.0000           0.9952    0.0000    1.2373    0.0000   -0.0887    0.0000
 1825.0   -3.0715    0.0000   -0.5813    0.0000   -0.5523    0.0000           0.9926    0.0000    1.1804    0.0000   -0.0912    0.0000
 1830.0   -3.0354    0.0000   -0.5405    0.0000   -0.5269    0.0000           0.9899    0.0000    1.1202    0.0000   -0.0946    0.0000
 1835.0   -2.9969    0.0000   -0.5133    0.0000   -0.5010    0.0000           0.9897    0.0000    1.0627    0.0000   -0.0983    0.0000
 1840.0   -2.9618    0.0000   -0.4910    0.0000   -0.4750    0.0000           0.9840    0.0000    1.0030    0.0000   -0.1028    0.0000
 1845.0   -2.9298    0.0000   -0.4768    0.0000   -0.4492    0.0000           0.9786    0.0000    0.9405    0.0000   -0.1078    0.0000
 1850.0   -2.8900    0.0000   -0.4376    0.0000   -0.4229    0.0000           0.9735    0.0000    0.8926    0.0000   -0.1129    0.0000
 1855.0   -2.8592    0.0000   -0.4165    0.0000   -0.3968    0.0000           0.9661    0.0000    0.8545    0.0000   -0.1179    0.0000
 1860.0   -2.8231    0.0000   -0.3872    0.0000   -0.3705    0.0000           0.9593    0.0000    0.8141    0.0000   -0.1234    0.0000
 1865.0   -2.7931    0.0000   -0.3712    0.0000   -0.3443    0.0000           0.9502    0.0000    0.7679    0.0000   -0.1296    0.0000
 1870.0   -2.7582    0.0000   -0.3293    0.0000   -0.3180    0.0000           0.9446    0.0000    0.7364    0.0000   -0.1358    0.0000
 1875.0   -2.7267    0.0000   -0.2984    0.0000   -0.2920    0.0000           0.9401    0.0000    0.6910    0.0000   -0.1420    0.0000
 1880.0   -2.6927    0.0000   -0.2692    0.0000   -0.2661    0.0000           0.9336    0.0000    0.6689    0.0000   -0.1486    0.0000
 1885.0   -2.6622    0.0000   -0.2344    0.0000   -0.2403    0.0000           0.9222    0.0000    0.6217    0.0000   -0.1557    0.0000
 1890.0   -2.6265    0.0000   -0.2366    0.0000   -0.2151    0.0000           0.9093    0.0000    0.5728    0.0000   -0.1625    0.0000
 1895.0   -2.5972    0.0000   -0.2082    0.0000   -0.1900    0.0000           0.9032    0.0000    0.5904    0.0000   -0.1691    0.0000
 1900.0   -2.5623    0.0000   -0.1728    0.0000   -0.1651    0.0000           0.8897    0.0000    0.5423    0.0000   -0.1762    0.0000
 1905.0   -2.5340    0.0000   -0.1380    0.0000   -0.1405    0.0000           0.8804    0.0000    0.5330    0.0000   -0.1829    0.0000
 1910.0   -2.5033    0.0000   -0.0920    0.0000   -0.1164    0.0000           0.8694    0.0000    0.5007    0.0000   -0.1901    0.0000
 1915.0   -2.4731    0.0000   -0.0726    0.0000   -0.0928    0.0000           0.8599    0.0000    0.5011    0.0000   -0.1969    0.0000
 1920.0   -2.4435    0.0000   -0.0415    0.0000   -0.0697    0.0000           0.8491    0.0000    0.4749    0.0000   -0.2041    0.0000
 1925.0   -2.4084    0.0000   -0.0384    0.0000   -0.0469    0.0000           0.8367    0.0000    0.4432    0.0000   -0.2112    0.0000
 1930.0   -2.3829    0.0000    0.0226    0.0000   -0.0249    0.0000           0.8228    0.0000    0.4416    0.0000   -0.2179    0.0000
 1935.0   -2.3520    0.0000    0.0232    0.0000   -0.0034    0.0000           0.8138    0.0000    0.4311    0.0000   -0.2246    0.0000
 1940.0   -2.3215    0.0000    0.0839    0.0000    0.0175    0.0000           0.8004    0.0000    0.4065    0.0000   -0.2313    0.0000
 1945.0   -2.2915    0.0000    0.0802    0.0000    0.0376    0.0000           0.7854    0.0000    0.4078    0.0000   -0.2379    0.0000
 1950.0   -2.2655    0.0000    0.1063    0.0000    0.0571    0.0000           0.7756    0.0000    0.3906    0.0000   -0.2444    0.0000
 1955.0   -2.2336    0.0000    0.1233    0.0000    0.0758    0.0000           0.7549    0.0000    0.3988    0.0000   -0.2507    0.0000
 1960.0   -2.2087    0.0000    0.1231    0.0000    0.0937    0.0000           0.7491    0.0000    0.3783    0.0000   -0.2570    0.0000
 1965.0   -2.1813    0.0000    0.2100    0.0000    0.1108    0.0000           0.7323    0.0000    0.3688    0.0000   -0.2630    0.0000
