!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 2   10/ 7/19
!  WCM     D33  pE   D33  pM   D13  pE   D13  pM   D13  nE   D13  nM
 1555.0   -6.2299    0.4064   -2.1982   -1.2248    1.9050    0.4669          -3.8302    0.7377    3.8394    2.1479   -4.3604   -0.4587
 1560.0   -6.0813    0.4148   -2.2477   -1.2663    1.9475    0.4442          -4.0022    0.7701    3.4760    1.9778   -3.9052   -0.4193
 1565.0   -5.9198    0.4212   -2.2594   -1.2881    1.9401    0.4201          -4.1737    0.8031    3.1478    1.8204   -3.4900   -0.3875
 1570.0   -5.7455    0.4256   -2.2434   -1.2947    1.8952    0.3956          -4.3452    0.8366    2.8528    1.6762   -3.1157   -0.3615
 1575.0   -5.5569    0.4276   -2.2064   -1.2894    1.8225    0.3711          -4.5149    0.8706    2.5905    1.5459   -2.7831   -0.3403
 1580.0   -5.3545    0.4270   -2.1576   -1.2761    1.7312    0.3481          -4.6819    0.9049    2.3593    1.4285   -2.4887   -0.3238
 1585.0   -5.1368    0.4239   -2.1002   -1.2565    1.6272    0.3262          -4.8437    0.9390    2.1553    1.3227   -2.2292   -0.3108
 1590.0   -4.9047    0.4180   -2.0382   -1.2329    1.5158    0.3057          -4.9974    0.9731    1.9759    1.2284   -2.0027   -0.3004
 1595.0   -4.6584    0.4094   -1.9747   -1.2068    1.4009    0.2866          -5.1442    1.0066    1.8185    1.1437   -1.8046   -0.2925
 1600.0   -4.3973    0.3978   -1.9123   -1.1794    1.2857    0.2691          -5.2820    1.0394    1.6796    1.0674   -1.6318   -0.2864
 1605.0   -4.1227    0.3833   -1.8487   -1.1508    1.1716    0.2519          -5.4054    1.0709    1.5575    0.9992   -1.4821   -0.2817
 1610.0   -3.8350    0.3661   -1.7918   -1.1228    1.0609    0.2376          -5.5171    1.1012    1.4491    0.9373   -1.3515   -0.2781
 1615.0   -3.5358    0.3460   -1.7378   -1.0948    0.9538    0.2242          -5.6125    1.1297    1.3530    0.8820   -1.2392   -0.2753
 1620.0   -3.2265    0.3230   -1.6892   -1.0680    0.8518    0.2126          -5.6895    1.1558    1.2668    0.8312   -1.1413   -0.2730
 1625.0   -2.9086    0.2977   -1.6428   -1.0416    0.7546    0.2014          -5.7477    1.1798    1.1898    0.7853   -1.0573   -0.2712
 1630.0   -2.5848    0.2700   -1.5969   -1.0162    0.6634    0.1898          -5.7863    1.2009    1.1198    0.7432   -0.9845   -0.2696
 1635.0   -2.2569    0.2403   -1.5595   -0.9921    0.5773    0.1808          -5.8029    1.2190    1.0563    0.7045   -0.9220   -0.2682
 1640.0   -1.9274    0.2090   -1.5219   -0.9687    0.4969    0.1712          -5.7968    1.2337    0.9978    0.6686   -0.8681   -0.2667
 1645.0   -1.5994    0.1764   -1.4928   -0.9465    0.4215    0.1641          -5.7689    1.2449    0.9444    0.6359   -0.8225   -0.2654
 1650.0   -1.2757    0.1429   -1.4606   -0.9247    0.3517    0.1555          -5.7176    1.2527    0.8944    0.6053   -0.7834   -0.2640
 1655.0   -0.9576    0.1090   -1.4379   -0.9045    0.2864    0.1495          -5.6450    1.2565    0.8475    0.5766   -0.7501   -0.2624
 1660.0   -0.6497    0.0750   -1.4113   -0.8846    0.2269    0.1420          -5.5504    1.2569    0.8035    0.5498   -0.7220   -0.2608
 1665.0   -0.3520    0.0415   -1.3883   -0.8655    0.1716    0.1353          -5.4361    1.2536    0.7615    0.5247   -0.6984   -0.2590
 1670.0   -0.0689    0.0087   -1.3701   -0.8473    0.1205    0.1298          -5.3029    1.2468    0.7215    0.5009   -0.6786   -0.2570
 1675.0    0.1996   -0.0228   -1.3556   -0.8310    0.0749    0.1253          -5.1531    1.2366    0.6826    0.4783   -0.6622   -0.2548
 1680.0    0.4516   -0.0529   -1.3388   -0.8137    0.0323    0.1199          -4.9899    1.2235    0.6456    0.4569   -0.6486   -0.2525
 1685.0    0.6841   -0.0811   -1.3225   -0.7979   -0.0056    0.1145          -4.8135    1.2074    0.6095    0.4365   -0.6375   -0.2501
 1690.0    0.8991   -0.1074   -1.3117   -0.7823   -0.0406    0.1107          -4.6266    1.1892    0.5746    0.4172   -0.6285   -0.2475
 1695.0    1.0939   -0.1314   -1.2923   -0.7657   -0.0716    0.1044          -4.4319    1.1685    0.5398    0.3986   -0.6214   -0.2446
 1700.0    1.2689   -0.1530   -1.2901   -0.7530   -0.0990    0.1031          -4.2323    1.1460    0.5060    0.3808   -0.6157   -0.2417
 1705.0    1.4268   -0.1721   -1.2769   -0.7382   -0.1234    0.0988          -4.0287    1.1220    0.4724    0.3636   -0.6113   -0.2385
 1710.0    1.5637   -0.1891   -1.2637   -0.7254   -0.1442    0.0947          -3.8219    1.0970    0.4399    0.3473   -0.6080   -0.2353
