!  MA19 2000 MEV P(200) CHI/DP=51634/25553                SM05   10/ 7/19
!                    PI0P Waves for L= 3   10/ 7/19
!  WCM     F37  pE   F37  pM   F17  pE   F17  pM   F17  nE   F17  nM
 1645.0   -0.2302    0.9902    0.1755   -0.1742   -0.1740    0.1614           0.0042    0.2226    0.0013    0.0009   -0.0013    0.0012
 1650.0   -0.2288    1.0074    0.1751   -0.1738   -0.1736    0.1607           0.0046    0.2374    0.0014    0.0010   -0.0014    0.0013
 1655.0   -0.2273    1.0251    0.1745   -0.1731   -0.1730    0.1598           0.0050    0.2531    0.0015    0.0010   -0.0014    0.0013
 1660.0   -0.2259    1.0430    0.1740   -0.1725   -0.1725    0.1589           0.0054    0.2697    0.0015    0.0010   -0.0015    0.0014
 1665.0   -0.2245    1.0613    0.1734   -0.1718   -0.1719    0.1580           0.0059    0.2872    0.0016    0.0011   -0.0016    0.0014
 1670.0   -0.2231    1.0797    0.1729   -0.1711   -0.1713    0.1570           0.0063    0.3056    0.0017    0.0011   -0.0016    0.0015
 1675.0   -0.2217    1.0986    0.1723   -0.1704   -0.1708    0.1561           0.0068    0.3251    0.0017    0.0011   -0.0017    0.0016
 1680.0   -0.2203    1.1179    0.1719   -0.1699   -0.1704    0.1552           0.0073    0.3456    0.0018    0.0012   -0.0018    0.0016
 1685.0   -0.2189    1.1374    0.1714   -0.1692   -0.1698    0.1542           0.0078    0.3674    0.0019    0.0012   -0.0019    0.0017
 1690.0   -0.2176    1.1569    0.1708   -0.1684   -0.1692    0.1532           0.0083    0.3904    0.0020    0.0013   -0.0019    0.0018
 1695.0   -0.2161    1.1767    0.1703   -0.1677   -0.1687    0.1521           0.0089    0.4146    0.0020    0.0013   -0.0020    0.0018
 1700.0   -0.2149    1.1967    0.1697   -0.1669   -0.1681    0.1511           0.0094    0.4402    0.0021    0.0014   -0.0021    0.0019
 1705.0   -0.2134    1.2167    0.1692   -0.1661   -0.1675    0.1500           0.0100    0.4672    0.0022    0.0014   -0.0022    0.0020
 1710.0   -0.2121    1.2369    0.1686   -0.1653   -0.1670    0.1489           0.0106    0.4958    0.0023    0.0015   -0.0023    0.0020
 1715.0   -0.2109    1.2569    0.1681   -0.1645   -0.1664    0.1477           0.0113    0.5259    0.0024    0.0015   -0.0024    0.0021
 1720.0   -0.2097    1.2770    0.1676   -0.1637   -0.1659    0.1466           0.0120    0.5578    0.0025    0.0016   -0.0024    0.0022
 1725.0   -0.2084    1.2972    0.1670   -0.1629   -0.1653    0.1454           0.0127    0.5915    0.0026    0.0016   -0.0025    0.0022
 1730.0   -0.2072    1.3169    0.1665   -0.1620   -0.1648    0.1442           0.0134    0.6270    0.0026    0.0017   -0.0026    0.0023
 1735.0   -0.2060    1.3360    0.1661   -0.1614   -0.1644    0.1432           0.0141    0.6645    0.0027    0.0017   -0.0027    0.0024
 1740.0   -0.2048    1.3546    0.1656   -0.1605   -0.1638    0.1420           0.0149    0.7040    0.0028    0.0018   -0.0028    0.0024
 1745.0   -0.2037    1.3730    0.1651   -0.1596   -0.1633    0.1407           0.0157    0.7457    0.0029    0.0018   -0.0029    0.0025
 1750.0   -0.2027    1.3901    0.1644   -0.1586   -0.1626    0.1393           0.0165    0.7896    0.0030    0.0019   -0.0030    0.0026
 1755.0   -0.2017    1.4063    0.1639   -0.1577   -0.1621    0.1380           0.0173    0.8359    0.0031    0.0020   -0.0031    0.0026
 1760.0   -0.2008    1.4215    0.1634   -0.1568   -0.1615    0.1368           0.0182    0.8845    0.0032    0.0020   -0.0032    0.0027
 1765.0   -0.1999    1.4350    0.1628   -0.1559   -0.1610    0.1354           0.0190    0.9356    0.0033    0.0021   -0.0033    0.0028
 1770.0   -0.1990    1.4474    0.1623   -0.1550   -0.1605    0.1341           0.0199    0.9892    0.0034    0.0022   -0.0034    0.0028
 1775.0   -0.1984    1.4569    0.1618   -0.1541   -0.1599    0.1328           0.0208    1.0453    0.0035    0.0023   -0.0035    0.0029
 1780.0   -0.1978    1.4644    0.1613   -0.1532   -0.1594    0.1314           0.0216    1.1037    0.0036    0.0023   -0.0036    0.0030
 1785.0   -0.1972    1.4695    0.1608   -0.1523   -0.1589    0.1300           0.0225    1.1654    0.0037    0.0024   -0.0037    0.0030
 1790.0   -0.1968    1.4721    0.1603   -0.1514   -0.1584    0.1287           0.0233    1.2286    0.0039    0.0025   -0.0038    0.0031
 1795.0   -0.1964    1.4704    0.1597   -0.1503   -0.1577    0.1271           0.0242    1.2941    0.0040    0.0026   -0.0039    0.0032
 1800.0   -0.1961    1.4653    0.1592   -0.1493   -0.1572    0.1257           0.0249    1.3629    0.0041    0.0027   -0.0040    0.0032
 1805.0   -0.1962    1.4558    0.1587   -0.1484   -0.1567    0.1243           0.0256    1.4322    0.0042    0.0028   -0.0041    0.0033
 1810.0   -0.1961    1.4418    0.1582   -0.1474   -0.1562    0.1228           0.0263    1.5041    0.0043    0.0028   -0.0042    0.0033
 1815.0   -0.1961    1.4225    0.1575   -0.1463   -0.1555    0.1212           0.0269    1.5772    0.0044    0.0029   -0.0044    0.0034
 1820.0   -0.1964    1.3978    0.1571   -0.1454   -0.1550    0.1198           0.0274    1.6507    0.0045    0.0030   -0.0045    0.0034
 1825.0   -0.1968    1.3672    0.1566   -0.1444   -0.1545    0.1183           0.0278    1.7245    0.0046    0.0031   -0.0046    0.0035
