  W(MeV)      Re(E0+)     Im(E0+)    Re(E0-)   Im(E0-)     Re(M0+)    Im(M0+)    Re(M0-)    Im(M0-)    Re(E1+)   Im(E1+)     Re(E1-)   Im(E1-)    Re(M1+)    Im(M1+)    Re(M1-)    Im(M1-)    Re(E2+)   Im(E2+)     Re(E2-)   Im(E2-)     Re(M2+)     Im(M2+)    Re(M2-)    Im(M2-)     Re(E3+)   Im(E3+)     Re(E3-)   Im(E3-)    Re(M3+)    Im(M3+)    Re(M3-)    Im(M3-)     Re(E4+)   Im(E4+)     Re(E4-)   Im(E4-)    Re(M4+)    Im(M4+)    Re(M4-)    Im(M4-)     Re(E5+)   Im(E5+)     Re(E5-)   Im(E5-)    Re(M5+)    Im(M5+)    Re(M5-)    Im(M5-)                                                                                                  
 1230.0000    -0.6696     4.3319     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8089    -0.8774     0.0000     0.0000    -1.2924    36.3383    -1.6234     0.5826    -0.0180     0.0126    -0.2417     0.0487    -0.2658    -0.0066     0.3102     0.0435     0.0025    -0.0005     0.0867    -0.0089    -0.0561     0.0001     0.0787    -0.0003    -0.0002     0.0000    -0.0018     0.0001    -0.0012    -0.0000     0.0126     0.0000    -0.0000    -0.0000     0.0003     0.0000     0.0006     0.0000     0.0002     0.0000
 1235.0000    -0.6745     4.3504     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8615    -0.6952     0.0000     0.0000    -4.3783    35.2191    -1.5056     0.6374    -0.0199     0.0134    -0.2490     0.0503    -0.2679    -0.0071     0.3420     0.0560     0.0026    -0.0005     0.0880    -0.0129    -0.0542     0.0000     0.0806    -0.0006    -0.0002     0.0000    -0.0018     0.0001    -0.0013    -0.0000     0.0112     0.0000     0.0000    -0.0000     0.0003     0.0000     0.0006     0.0000     0.0002     0.0000
 1240.0000    -0.6771     4.3705     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8800    -0.5185     0.0000     0.0000    -7.0354    33.7097    -1.3815     0.6964    -0.0214     0.0142    -0.2628     0.0536    -0.2698    -0.0077     0.3727     0.0678     0.0026    -0.0006     0.0891    -0.0168    -0.0523     0.0000     0.0823    -0.0008    -0.0002     0.0000    -0.0020     0.0001    -0.0014    -0.0000     0.0097     0.0000     0.0000    -0.0000     0.0004     0.0000     0.0007     0.0000     0.0002     0.0000
 1245.0000    -0.6725     4.3931     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8701    -0.3536     0.0000     0.0000    -9.2420    31.9516    -1.2523     0.7597    -0.0229     0.0151    -0.2681     0.0586    -0.2715    -0.0082     0.4040     0.0791     0.0027    -0.0007     0.0897    -0.0204    -0.0501    -0.0001     0.0841    -0.0010    -0.0002     0.0000    -0.0020     0.0001    -0.0015    -0.0000     0.0082     0.0000     0.0000    -0.0000     0.0003     0.0000     0.0007     0.0000     0.0002     0.0000
 1250.0000    -0.6735     4.4169     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.8383    -0.2039     0.0000     0.0000   -11.0161    30.0646    -1.1203     0.8279    -0.0243     0.0159    -0.2797     0.0653    -0.2729    -0.0088     0.4340     0.0901     0.0027    -0.0007     0.0902    -0.0240    -0.0476    -0.0002     0.0859    -0.0012    -0.0003     0.0000    -0.0020     0.0001    -0.0015    -0.0000     0.0065     0.0000     0.0000    -0.0000     0.0004     0.0000     0.0008     0.0000     0.0003     0.0000
 1255.0000    -0.6737     4.4409     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7901    -0.0713     0.0000     0.0000   -12.3987    28.1410    -0.9860     0.9013    -0.0257     0.0168    -0.2825     0.0733    -0.2739    -0.0093     0.4644     0.1006     0.0028    -0.0008     0.0905    -0.0272    -0.0450    -0.0003     0.0877    -0.0014    -0.0003     0.0000    -0.0020     0.0001    -0.0016    -0.0000     0.0048     0.0000     0.0000    -0.0000     0.0004     0.0000     0.0008     0.0000     0.0003     0.0000
 1260.0000    -0.6730     4.4662     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.7304     0.0445     0.0000     0.0000   -13.4419    26.2467    -0.8503     0.9806    -0.0276     0.0176    -0.2882     0.0829    -0.2744    -0.0100     0.4938     0.1110     0.0029    -0.0009     0.0907    -0.0302    -0.0422    -0.0003     0.0895    -0.0016    -0.0003     0.0000    -0.0021     0.0001    -0.0017    -0.0000     0.0030     0.0000     0.0000    -0.0000     0.0005     0.0000     0.0009     0.0000     0.0003     0.0000
 1265.0000    -0.6624     4.4942     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.6636     0.1442     0.0000     0.0000   -14.2000    24.4243    -0.7093     1.0661    -0.0291     0.0185    -0.2883     0.0940    -0.2748    -0.0105     0.5229     0.1212     0.0030    -0.0010     0.0906    -0.0331    -0.0392    -0.0004     0.0912    -0.0018    -0.0004     0.0000    -0.0021     0.0002    -0.0018    -0.0000     0.0013     0.0000     0.0001    -0.0000     0.0005     0.0000     0.0010     0.0000     0.0003     0.0000
 1270.0000    -0.6586     4.5230     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.5925     0.2293     0.0000     0.0000   -14.7235    22.6997    -0.5707     1.1580    -0.0304     0.0194    -0.2915     0.1065    -0.2751    -0.0111     0.5510     0.1313     0.0029    -0.0010     0.0907    -0.0356    -0.0360    -0.0005     0.0929    -0.0019    -0.0003     0.0000    -0.0021     0.0002    -0.0018    -0.0000    -0.0004     0.0000     0.0000    -0.0000     0.0006     0.0000     0.0009     0.0000     0.0004     0.0000
 1275.0000    -0.6468     4.5546     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.5194     0.3012     0.0000     0.0000   -15.0570    21.0857    -0.4304     1.2572    -0.0318     0.0204    -0.2889     0.1204    -0.2749    -0.0117     0.5788     0.1414     0.0030    -0.0011     0.0915    -0.0377    -0.0327    -0.0006     0.0948    -0.0020    -0.0003     0.0000    -0.0021     0.0002    -0.0020    -0.0000    -0.0022     0.0001    -0.0000    -0.0000     0.0005     0.0000     0.0010     0.0000     0.0004     0.0000
